Specialization,Case Type,Win/Lose,Lawyer ID,Name,Image,
Business Lawyer,IntellectualProperty,0,1014,Roji Martin,
Immigration Lawyer,Deportation,1,1009,Immanuvel Job
Immigration Lawyer,Asylum,0,1009,Immanuvel Job
Business Lawyer,BusinessFraud,0,1014,Roji Martin
Family Lawyer,ChildCustody,0,1004,Tony K Sibichen
Tax Lawyer,IRSAudit,0,1016,Rose James
Immigration Lawyer,Deportation,1,1010,Alen Jose
Tax Lawyer,TaxFraud,1,1018,Robin Roy
Tax Lawyer,TaxEvasion,0,1017,Rony Shaji
Criminal Lawyer,Burglary,0,1002,Jo Jacob
Immigration Lawyer,Deportation,0,1009,Immanuvel Job
Criminal Lawyer,Burglary,1,1000,John Smith
Criminal Lawyer,Robbery,1,1000,John Smith
Tax Lawyer,IRSAudit,1,1018,Robin Roy
Family Lawyer,Divorce,1,1005,Tony M Thomas
Immigration Lawyer,Deportation,1,1009,Immanuvel Job
Immigration Lawyer,Deportation,0,1009,Immanuvel Job
Tax Lawyer,TaxFraud,0,1017,Rony Shaji
Business Lawyer,IntellectualProperty,0,1013,Don Benny
Tax Lawyer,IRSAudit,1,1016,Rose James
Criminal Lawyer,Murder,1,1002,Jo Jacob
Tax Lawyer,TaxFraud,1,1016,Rose James
Business Lawyer,IntellectualProperty,0,1014,Roji Martin
Family Lawyer,Adoption,1,1004,Tony K Sibichen
Family Lawyer,Adoption,1,1005,Tony M Thomas
Tax Lawyer,TaxEvasion,0,1016,Rose James
Business Lawyer,IntellectualProperty,1,1013,Don Benny
Immigration Lawyer,Asylum,1,1010,Alen Jose
Family Lawyer,ChildCustody,1,1004,Tony K Sibichen
Immigration Lawyer,VisaApplication,1,1010,Alen Jose
Family Lawyer,Adoption,1,1006,Martin James
Criminal Lawyer,Assault,1,1002,Jo Jacob
Immigration Lawyer,Deportation,0,1008,Justin Jose
Business Lawyer,BusinessFraud,1,1014,Roji Martin
Business Lawyer,ContractDispute,0,1012,Aby George
Criminal Lawyer,Assault,1,1000,John Smith
Family Lawyer,Adoption,0,1004,Tony K Sibichen
Tax Lawyer,TaxFraud,1,1016,Rose James
Business Lawyer,IntellectualProperty,1,1013,Don Benny
Tax Lawyer,IRSAudit,1,1018,Robin Roy
Business Lawyer,BusinessFraud,0,1014,Roji Martin
Immigration Lawyer,Deportation,1,1010,Alen Jose
Tax Lawyer,IRSAudit,0,1016,Rose James
Immigration Lawyer,Deportation,0,1008,Justin Jose
